x,y,i
-79.56282861346556,43.56688178079677,0.1583714416111205
-79.56282047353675,43.56687584703074,0.1583714416111205
-79.5648489337806,43.57094583581804,0.45375777476692963
-79.56485632840356,43.570938866024285,0.45375777476692963
-79.56375306565857,43.56913385453025,0.6718861503267739
-79.56374364093583,43.56914076494705,0.6718861503267739
-79.56466032499473,43.570656799983915,0.7263398484858682
-79.5646517441326,43.57066465875537,0.7263398484858682
-79.56251617893462,43.56834552653861,0.9131192712090667
-79.56253068924352,43.56833467367083,0.9131192712090667
-79.5621703470583,43.56905384581668,1.9423233007167438
-79.56216803740641,43.569054683069886,1.9423233007167438
-79.56315734050595,43.56977327889735,4.401205725859469
-79.56314628369682,43.569783965324056,4.401205725859469
-79.56489021286075,43.56958182994294,5.088004485461031
-79.5649085394853,43.569568938440206,5.088004485461031
-79.56288978680976,43.56807696676834,5.284300384964239
-79.56289094826168,43.5680762779581,5.284300384964239
-79.55470726106282,43.57626658868312,5.335773836241274
-79.55471755995033,43.57627237231166,5.335773836241274
-79.56546861755082,43.56858025048986,5.7704469364083675
-79.56546852233713,43.568580677227175,5.7704469364083675
-79.56312177426652,43.56821851511129,7.366802809667018
-79.56308727478093,43.56824377613101,7.366802809667018
-79.56347528777202,43.56746220123477,9.870059016267744
-79.56345856463132,43.56747423819458,9.870059016267744
-79.56123433687789,43.56971631608998,11.924144655798683
-79.56124148404045,43.56971813830551,11.924144655798683
-79.56191377562551,43.56881482569213,17.76254717187309
-79.56189797282778,43.56881276114825,17.76254717187309
-79.56368259131327,43.567439752875785,19.6159894052038
-79.56367949863565,43.56744059529789,19.6159894052038
-79.55455096353143,43.578149396844694,24.96276094223184
-79.55455247597307,43.57814729400502,24.96276094223184
-79.5620414582881,43.568854641563256,26.74520581887484
-79.56193278685218,43.56882392771834,26.74520581887484
-79.56362729697972,43.56759867426054,28.786082049211476
-79.56363447767718,43.567601731106365,28.786082049211476
-79.55030440089489,43.58072193591311,29.683111036805037
-79.55032376709558,43.58071629310532,29.683111036805037
-79.56345390270475,43.567345531582895,30.192532025695662
-79.56344543629636,43.567349087704706,30.192532025695662
-79.56494529544057,43.56903421225433,30.762321763172096
-79.56495214789959,43.569031142564455,30.762321763172096
-79.55135742705642,43.57966507841704,31.116720640540457
-79.55136692262023,43.57966588144851,31.116720640540457
-79.55001536408636,43.583973415587494,34.013774336393396
-79.55000603032354,43.58397766737401,34.013774336393396
-79.54795935575913,43.576505480443195,34.72352235387066
-79.54795876927219,43.57650972193176,34.72352235387066
-79.56545661287662,43.57026309919613,36.26292837021853
-79.56547101277647,43.570270220758836,36.26292837021853
-79.56125338238768,43.56967144968318,38.31095933789428
-79.56127265509507,43.569668098662945,38.31095933789428
-79.56468052262345,43.57060779936426,40.08299206116214
-79.56466182512297,43.57060972883964,40.08299206116214
-79.56610041331174,43.56935131921995,40.14927372426366
-79.56611257226753,43.56933989430868,40.14927372426366
-79.55905838888351,43.57149322747109,40.15434892856089
-79.55906794409182,43.57148678825223,40.15434892856089
-79.54516397558865,43.5781402921878,40.96961992595343
-79.5451515662747,43.57814187248022,40.96961992595343
-79.54556737274116,43.57687943424644,43.00274551909929
-79.54555702420097,43.57688441297222,43.00274551909929
-79.54879758076524,43.57730934926047,43.04274795856941
-79.54880179365433,43.577311043991415,43.04274795856941
-79.55900965845098,43.571448702379726,43.65928987657898
-79.5590068573867,43.571453610666055,43.65928987657898
-79.54558189029383,43.576829832079305,45.34223228461528
-79.5455819394543,43.576814728603445,45.34223228461528
